Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni	Match
CarAqu_2	CarAqu	0.5X	CarLac	53	21601	0.2447584741849081	-1.0048543689320388	0.15748348976039026	No	FALSE
CarAqu_2	CarAqu	0.5X	CarOva	54	21600	0.24937655860349126	-0.9951456310679613	0.1598327200955058	No	FALSE
CarAqu_2	CarAqu	0.25X	CarCor	58	11868	0.4863323830286768	-0.6261682242990655	0.26560230343965263	No	FALSE
CarAqu_2	CarAqu	0.05X	CarCat	60	2515	2.3300970873786406	2.740740740740741	0.0030650428047090733	Yes	FALSE
CarAqu_2	CarAqu	0.25X	CarMyr	83	11843	0.69595841019621	-0.15887850467289713	0.43688229817641233	No	FALSE
CarAqu_2	CarAqu	0.05X	CarIll	85	2490	3.300970873786408	4.592592592592593	2.1888658592124853e-6	Yes	FALSE
CarAqu_2	CarAqu	0.25X	CarPalm	100	11826	0.8385041086701325	0.15887850467289713	0.43688229817641233	No	FALSE
CarAqu_2	CarAqu	0.5X	CarCor	130	21524	0.6003509744158123	-0.2572815533980583	0.39848071576152955	No	FALSE
CarAqu_2	CarAqu	0.1X	CarCat	147	4943	2.888015717092338	4.416666666666667	5.011731025671311e-6	Yes	FALSE
CarAqu_2	CarAqu	0.5X	CarMyr	155	21499	0.7158030848803916	-0.01456310679611647	0.49419036632088875	No	FALSE
CarAqu_2	CarAqu	0.5X	CarPalm	158	21496	0.7296573381361411	0.01456310679611647	0.49419036632088875	No	FALSE
CarAqu_2	CarAqu	0.1X	CarIll	201	4889	3.948919449901768	6.666666666666666	1.3083924686053078e-11	Yes	FALSE
CarAqu_2	CarAqu	0.25X	CarCat	322	11604	2.6999832299178266	4.308411214953272	8.221572898462077e-6	Yes	FALSE
CarAqu_2	CarAqu	0.25X	CarIll	439	11487	3.681033037061882	6.4953271028037385	4.1426595847197244e-11	Yes	FALSE
CarAqu_2	CarAqu	0.01X	CarAqu	451	50	90.01996007984032	127.42857142857143	0	Yes	TRUE
CarAqu_2	CarAqu	0.5X	CarCat	556	21098	2.5676549367322434	3.8786407766990303	5.2520866554418207e-5	Yes	FALSE
CarAqu_2	CarAqu	0.5X	CarIll	814	20840	3.7591207167267013	6.383495145631068	8.654554259118937e-11	Yes	FALSE
CarAqu_2	CarAqu	0.025X	CarAqu	1056	147	87.78054862842892	109.6842105263158	0	Yes	TRUE
CarAqu_2	CarAqu	0.05X	CarAqu	2352	223	91.33980582524272	172.51851851851853	0	Yes	TRUE
CarAqu_2	CarAqu	0.1X	CarAqu	4594	496	90.25540275049116	189.70833333333331	0	Yes	TRUE
CarAqu_2	CarAqu	0.25X	CarAqu	10848	1078	90.96092570853597	201.05607476635515	0	Yes	TRUE
CarAqu_2	CarAqu	0.5X	CarAqu	19734	1920	91.13327791632031	190.0728155339806	0	Yes	TRUE
CarAqu_3	CarAqu	0.01X	CarLac	0	326	0	-1.2	0.11506967022170828	No	FALSE
CarAqu_3	CarAqu	0.01X	CarMyr	1	325	0.3067484662576687	-0.8	0.21185539858339666	No	FALSE
CarAqu_3	CarAqu	0.025X	CarLac	2	910	0.21929824561403508	-1	0.15865525393145705	No	FALSE
CarAqu_3	CarAqu	0.025X	CarOva	2	910	0.21929824561403508	-1	0.15865525393145705	No	FALSE
CarAqu_3	CarAqu	0.01X	CarCor	2	324	0.6134969325153374	-0.4	0.3445782583896758	No	FALSE
CarAqu_3	CarAqu	0.01X	CarOva	3	323	0.9202453987730062	0	0.5	No	FALSE
CarAqu_3	CarAqu	0.01X	CarPalm	3	323	0.9202453987730062	0	0.5	No	FALSE
CarAqu_3	CarAqu	0.025X	CarMyr	4	908	0.43859649122807015	-0.6	0.2742531177500736	No	FALSE
CarAqu_3	CarAqu	0.05X	CarOva	5	1799	0.2771618625277162	-1.0555555555555556	0.14558565762265405	No	FALSE
CarAqu_3	CarAqu	0.025X	CarCor	5	907	0.5482456140350876	-0.4	0.3445782583896758	No	FALSE
CarAqu_3	CarAqu	0.05X	CarLac	6	1798	0.3325942350332594	-0.9444444444444444	0.17247128941430825	No	FALSE
CarAqu_3	CarAqu	0.1X	CarLac	6	3648	0.16420361247947454	-1.206896551724138	0.11373599292006142	No	FALSE
CarAqu_3	CarAqu	0.025X	CarPalm	9	903	0.9868421052631579	0.4	0.3445782583896758	No	FALSE
CarAqu_3	CarAqu	0.01X	CarCat	9	317	2.7607361963190185	2.3999999999999995	0.008197535924596143	No	FALSE
CarAqu_3	CarAqu	0.05X	CarCor	11	1793	0.6097560975609756	-0.38888888888888884	0.348679170938738	No	FALSE
CarAqu_3	CarAqu	0.1X	CarOva	12	3642	0.3284072249589491	-0.793103448275862	0.2138587769812524	No	FALSE
CarAqu_3	CarAqu	0.05X	CarPalm	14	1790	0.7760532150776054	-0.05555555555555545	0.47784793565821787	No	FALSE
CarAqu_3	CarAqu	0.05X	CarMyr	15	1789	0.8314855875831485	0.05555555555555545	0.47784793565821787	No	FALSE
CarAqu_3	CarAqu	0.01X	CarIll	15	311	4.601226993865031	4.799999999999999	7.933281519755987e-7	Yes	FALSE
CarAqu_3	CarAqu	0.1X	CarMyr	19	3635	0.5199781061850027	-0.3103448275862069	0.37814937265194704	No	FALSE
CarAqu_3	CarAqu	0.1X	CarCor	20	3634	0.5473453749315819	-0.24137931034482762	0.4046305733475904	No	FALSE
CarAqu_3	CarAqu	0.025X	CarCat	21	891	2.302631578947368	2.8	0.002555130330427934	Yes	FALSE
CarAqu_3	CarAqu	0.25X	CarOva	22	8550	0.25664955669622025	-1.103896103896104	0.13481910457857704	No	FALSE
CarAqu_3	CarAqu	0.025X	CarIll	26	886	2.850877192982456	3.8	7.234804392512006e-5	Yes	FALSE
CarAqu_3	CarAqu	0.1X	CarPalm	27	3627	0.7389162561576355	0.2413793103448274	0.40463057334759045	No	FALSE
CarAqu_3	CarAqu	0.05X	CarCat	28	1776	1.5521064301552108	1.5000000000000002	0.06680720126885802	No	FALSE
CarAqu_3	CarAqu	0.25X	CarLac	30	8542	0.34997666822211854	-0.8961038961038962	0.18509863820572917	No	FALSE
CarAqu_3	CarAqu	0.25X	CarMyr	48	8524	0.5599626691553896	-0.4285714285714286	0.33411757089762467	No	FALSE
CarAqu_3	CarAqu	0.5X	CarLac	54	16185	0.3325327914280436	-1.0310077519379846	0.15126859229436992	No	FALSE
CarAqu_3	CarAqu	0.05X	CarIll	57	1747	3.159645232815964	4.722222222222222	1.1664079258707183e-6	Yes	FALSE
CarAqu_3	CarAqu	0.5X	CarOva	58	16181	0.3571648500523431	-0.9689922480620156	0.16627452846749746	No	FALSE
CarAqu_3	CarAqu	0.1X	CarCat	64	3590	1.751505199781062	2.7931034482758617	0.0026102496910241787	Yes	FALSE
CarAqu_3	CarAqu	0.25X	CarCor	64	8508	0.7466168922071862	-0.012987012987012983	0.4948190770616754	No	FALSE
CarAqu_3	CarAqu	0.25X	CarPalm	65	8507	0.7582827811479235	0.012987012987012983	0.4948190770616754	No	FALSE
CarAqu_3	CarAqu	0.5X	CarPalm	115	16124	0.7081716854486114	-0.08527131782945742	0.4660228467588336	No	FALSE
CarAqu_3	CarAqu	0.5X	CarMyr	116	16123	0.7143297001046862	-0.06976744186046532	0.4721893808203746	No	FALSE
CarAqu_3	CarAqu	0.5X	CarCor	125	16114	0.7697518320093603	0.0697674418604651	0.47218938082037465	No	FALSE
CarAqu_3	CarAqu	0.1X	CarIll	129	3525	3.5303776683087027	7.275862068965516	1.7210757653128527e-13	Yes	FALSE
CarAqu_3	CarAqu	0.25X	CarCat	160	8412	1.8665422305179653	2.4805194805194803	0.00655955474727117	No	FALSE
CarAqu_3	CarAqu	0.01X	CarAqu	293	33	89.87730061349694	116	0	Yes	TRUE
CarAqu_3	CarAqu	0.25X	CarIll	300	8272	3.499766682221185	6.116883116883117	4.771165112955119e-10	Yes	FALSE
CarAqu_3	CarAqu	0.5X	CarCat	303	15936	1.865878440790689	2.8294573643410845	0.002331350609190604	Yes	FALSE
CarAqu_3	CarAqu	0.5X	CarIll	557	15682	3.430014163433709	6.767441860465115	6.553964802913425e-12	Yes	FALSE
CarAqu_3	CarAqu	0.025X	CarAqu	843	69	92.43421052631578	167.2	0	Yes	TRUE
CarAqu_3	CarAqu	0.05X	CarAqu	1668	136	92.46119733924611	183.72222222222223	0	Yes	TRUE
CarAqu_3	CarAqu	0.1X	CarAqu	3377	277	92.41926655719759	231.27586206896547	0	Yes	TRUE
CarAqu_3	CarAqu	0.25X	CarAqu	7883	689	91.96220251983202	203.0779220779221	0	Yes	TRUE
CarAqu_3	CarAqu	0.5X	CarAqu	14911	1328	91.82215653673256	229.3100775193798	0	Yes	TRUE
CarCat_1	CarCat	0.01X	CarOva	0	2307	0	-4.999999999999998	2.866515718791965e-7	No	FALSE
CarCat_1	CarCat	0.01X	CarLac	1	2306	0.043346337234503686	-2.999999999999999	0.0013498980316300985	No	FALSE
CarCat_1	CarCat	0.01X	CarMyr	2	2305	0.08669267446900737	-0.9999999999999994	0.15865525393145719	No	FALSE
CarCat_1	CarCat	0.01X	CarPalm	2	2305	0.08669267446900737	-0.9999999999999994	0.15865525393145719	No	FALSE
CarCat_1	CarCat	0.05X	CarLac	2	11152	0.017930787161556393	-2.9999999999999996	0.0013498980316300965	No	FALSE
CarCat_1	CarCat	0.01X	CarAqu	3	2304	0.13003901170351106	1	0.15865525393145705	No	FALSE
CarCat_1	CarCat	0.01X	CarCor	3	2304	0.13003901170351106	1	0.15865525393145705	No	FALSE
CarCat_1	CarCat	0.01X	CarIll	3	2304	0.13003901170351106	1	0.15865525393145705	No	FALSE
CarCat_1	CarCat	0.05X	CarOva	3	11151	0.026896180742334585	-2.7142857142857135	0.0033209427382133233	No	FALSE
CarCat_1	CarCat	0.025X	CarLac	4	5473	0.07303268212525106	-1	0.15865525393145705	No	FALSE
CarCat_1	CarCat	0.025X	CarPalm	4	5473	0.07303268212525106	-1	0.15865525393145705	No	FALSE
CarCat_1	CarCat	0.025X	CarIll	5	5472	0.09129085265656381	-0.3333333333333333	0.36944134018176367	No	FALSE
CarCat_1	CarCat	0.025X	CarMyr	5	5472	0.09129085265656381	-0.3333333333333333	0.36944134018176367	No	FALSE
CarCat_1	CarCat	0.025X	CarOva	6	5471	0.10954902318787657	0.3333333333333333	0.36944134018176367	No	FALSE
CarCat_1	CarCat	0.05X	CarCor	9	11145	0.080688542227003765	-0.9999999999999994	0.15865525393145719	No	FALSE
CarCat_1	CarCat	0.025X	CarAqu	9	5468	0.16432353478181486	2.333333333333334	0.009815328628645325	No	FALSE
CarCat_1	CarCat	0.025X	CarCor	9	5468	0.16432353478181486	2.333333333333334	0.009815328628645325	No	FALSE
CarCat_1	CarCat	0.05X	CarAqu	10	11144	0.08965393580778196	-0.7142857142857139	0.23752526202697669	No	FALSE
CarCat_1	CarCat	0.1X	CarLac	12	21401	0.05604072292532574	-3.142857142857145	8.365373610761518e-4	No	FALSE
CarCat_1	CarCat	0.1X	CarOva	13	21400	0.06071078316910288	-2.857142857142859	0.002137366980086269	No	FALSE
CarCat_1	CarCat	0.05X	CarMyr	15	11139	0.13448090371167293	0.7142857142857145	0.2375252620269764	No	FALSE
CarCat_1	CarCat	0.05X	CarPalm	15	11139	0.13448090371167293	0.7142857142857145	0.2375252620269764	No	FALSE
CarCat_1	CarCat	0.05X	CarIll	16	11138	0.14344629729245115	1.0000000000000004	0.15865525393145696	No	FALSE
CarCat_1	CarCat	0.25X	CarOva	20	50879	0.03929350281930883	-2.826086956521739	0.002356023524931073	No	FALSE
CarCat_1	CarCat	0.1X	CarMyr	20	21393	0.09340120487554289	-0.8571428571428584	0.19568296915377562	No	FALSE
CarCat_1	CarCat	0.1X	CarPalm	22	21391	0.1027413253630972	-0.28571428571428636	0.3875484810979921	No	FALSE
CarCat_1	CarCat	0.25X	CarLac	24	50875	0.047152203383170596	-2.4782608695652173	0.006601228855165338	No	FALSE
CarCat_1	CarCat	0.1X	CarIll	24	21389	0.11208144585065148	0.28571428571428503	0.3875484810979926	No	FALSE
CarCat_1	CarCat	0.1X	CarCor	25	21388	0.11675150609442861	0.5714285714285701	0.2838545830986768	No	FALSE
CarCat_1	CarCat	0.1X	CarAqu	27	21386	0.1260916265819829	1.1428571428571415	0.12654895447355807	No	FALSE
CarCat_1	CarCat	0.25X	CarIll	42	50857	0.08251635592054854	-0.9130434782608694	0.180609837607042	No	FALSE
CarCat_1	CarCat	0.5X	CarOva	44	93954	0.04680950658524649	-1.9302325581395354	0.026789014569410033	No	FALSE
CarCat_1	CarCat	0.5X	CarLac	50	93948	0.053192621119598285	-1.6511627906976751	0.049352669357738424	No	FALSE
CarCat_1	CarCat	0.25X	CarCor	52	50847	0.10216310733020294	-0.0434782608695653	0.4826601467246113	No	FALSE
CarCat_1	CarCat	0.25X	CarAqu	53	50846	0.10412778247116838	0.0434782608695653	0.4826601467246113	No	FALSE
CarCat_1	CarCat	0.25X	CarMyr	60	50839	0.11788050845792648	0.6521739130434786	0.2571444933580458	No	FALSE
CarCat_1	CarCat	0.25X	CarPalm	65	50834	0.1277038841627537	1.0869565217391306	0.13852801251631008	No	FALSE
CarCat_1	CarCat	0.5X	CarIll	67	93931	0.07127811230026171	-0.8604651162790701	0.19476635235835782	No	FALSE
CarCat_1	CarCat	0.5X	CarAqu	85	93913	0.09042745590331709	-0.023255813953488674	0.4907231087643117	No	FALSE
CarCat_1	CarCat	0.5X	CarCor	86	93912	0.09149130832570906	0.023255813953488202	0.49072310876431186	No	FALSE
CarCat_1	CarCat	0.5X	CarPalm	94	93904	0.10000212770484478	0.3953488372093018	0.34629273094809687	No	FALSE
CarCat_1	CarCat	0.5X	CarMyr	110	93888	0.11702376646311624	1.1395348837209298	0.12724006359446433	No	FALSE
CarCat_1	CarCat	0.01X	CarCat	2293	14	99.39315127871696	4580.999999999999	0	Yes	TRUE
CarCat_1	CarCat	0.025X	CarCat	5435	42	99.23315683768486	3619.6666666666674	0	Yes	TRUE
CarCat_1	CarCat	0.05X	CarCat	11084	70	99.37242244934552	3163.2857142857138	0	Yes	TRUE
CarCat_1	CarCat	0.1X	CarCat	21270	143	99.33218138513988	6070.571428571431	0	Yes	TRUE
CarCat_1	CarCat	0.25X	CarCat	50583	316	99.37916265545492	4393.956521739131	0	Yes	TRUE
CarCat_1	CarCat	0.5X	CarCat	93462	536	99.42977510159791	4343.093023255815	0	Yes	TRUE
CarCat_2	CarCat	0.01X	CarLac	0	2102	0	-2.0000000000000004	0.022750131948179188	No	FALSE
CarCat_2	CarCat	0.025X	CarIll	1	5318	0.018800526414739612	-2.25	0.012224472655044706	No	FALSE
CarCat_2	CarCat	0.025X	CarLac	1	5318	0.018800526414739612	-2.25	0.012224472655044706	No	FALSE
CarCat_2	CarCat	0.01X	CarOva	1	2101	0.04757373929590866	-1.0000000000000002	0.158655253931457	No	FALSE
CarCat_2	CarCat	0.01X	CarCor	2	2100	0.09514747859181732	0	0.5	No	FALSE
CarCat_2	CarCat	0.01X	CarIll	2	2100	0.09514747859181732	0	0.5	No	FALSE
CarCat_2	CarCat	0.01X	CarPalm	2	2100	0.09514747859181732	0	0.5	No	FALSE
CarCat_2	CarCat	0.01X	CarAqu	3	2099	0.142721217887726	1	0.15865525393145705	No	FALSE
CarCat_2	CarCat	0.025X	CarOva	4	5315	0.07520210565895845	-0.7499999999999998	0.22662735237686824	No	FALSE
CarCat_2	CarCat	0.05X	CarLac	4	10544	0.037921880925293895	-2	0.022750131948179212	No	FALSE
CarCat_2	CarCat	0.01X	CarMyr	4	2098	0.19029495718363465	2.0000000000000004	0.022750131948179188	No	FALSE
CarCat_2	CarCat	0.025X	CarCor	5	5314	0.09400263207369806	-0.24999999999999983	0.40129367431707635	No	FALSE
CarCat_2	CarCat	0.025X	CarAqu	6	5313	0.1128031584884377	0.2500000000000004	0.40129367431707613	No	FALSE
CarCat_2	CarCat	0.025X	CarPalm	6	5313	0.1128031584884377	0.2500000000000004	0.40129367431707613	No	FALSE
CarCat_2	CarCat	0.05X	CarOva	6	10542	0.05688282138794084	-1.3333333333333333	0.09121121972586785	No	FALSE
CarCat_2	CarCat	0.025X	CarMyr	8	5311	0.1504042113179169	1.2500000000000002	0.10564977366685524	No	FALSE
CarCat_2	CarCat	0.05X	CarMyr	8	10540	0.07584376185058779	-0.6666666666666666	0.2524925375469229	No	FALSE
CarCat_2	CarCat	0.05X	CarAqu	10	10538	0.09480470231323473	0	0.5	No	FALSE
CarCat_2	CarCat	0.05X	CarCor	10	10538	0.09480470231323473	0	0.5	No	FALSE
CarCat_2	CarCat	0.05X	CarIll	12	10536	0.11376564277588168	0.6666666666666666	0.2524925375469229	No	FALSE
