Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
xila_2	xila	0.25X	CarLac	46	10886	0.4207830223197951	-0.7769230769230769	0.21860207762666797	No
xila_2	xila	0.1X	CarCor	46	4528	1.0056843025797988	0.3333333333333333	0.36944134018176367	No
xila_2	xila	0.25X	CarMyr	50	10882	0.45737285034760333	-0.7153846153846154	0.2371857081110455	No
xila_2	xila	0.5X	CarLac	53	19803	0.26692183722804186	-0.9321428571428572	0.17563135103625346	No
xila_2	xila	0.05X	CarCat	54	2245	2.34884732492388	2.6538461538461537	0.003979005029073089	Yes
xila_2	xila	0.05X	CarAqu	67	2232	2.914310569812962	3.653846153846154	1.291705491674739e-4	Yes
xila_2	xila	0.1X	CarCat	77	4497	1.6834280717096632	1.625	0.05208127941521956	No
xila_2	xila	0.25X	CarPalm	79	10853	0.7226491035492133	-0.2692307692307692	0.39387605185723834	No
xila_2	xila	0.5X	CarMyr	99	19757	0.49858984689766317	-0.6035714285714286	0.2730643065923341	No
xila_2	xila	0.25X	CarCor	114	10818	1.0428100987925357	0.2692307692307692	0.39387605185723834	No
xila_2	xila	0.1X	CarAqu	149	4425	3.257542632269349	4.625000000000002	1.872992005556693e-6	Yes
xila_2	xila	0.5X	CarPalm	156	19700	0.7856567284448026	-0.19642857142857145	0.4221373675380262	No
xila_2	xila	0.25X	CarCat	176	10756	1.609952433223564	1.223076923076923	0.11065032191965157	No
xila_2	xila	0.5X	CarCor	211	19645	1.0626510878323934	0.19642857142857145	0.4221373675380262	No
xila_2	xila	0.5X	CarCat	333	19523	1.6770749395648672	1.0678571428571428	0.14279247858850988	No
xila_2	xila	0.25X	CarAqu	359	10573	3.2839370654957922	4.038461538461538	2.690145643273585e-5	Yes
xila_2	xila	0.01X	CarIll	417	44	90.45553145336225	275.66666666666663	0	Yes
xila_2	xila	0.5X	CarAqu	604	19252	3.041901692183723	3.0035714285714286	0.0013341545259614883	Yes
xila_2	xila	0.025X	CarIll	1123	97	92.04918032786885	202.36363636363635	0	Yes
xila_2	xila	0.05X	CarIll	2117	182	92.08351457155285	161.34615384615387	0	Yes
xila_2	xila	0.1X	CarIll	4220	354	92.26060341058154	174.25	0	Yes
xila_2	xila	0.25X	CarIll	10094	838	92.33443102817417	153.8076923076923	0	Yes
xila_2	xila	0.5X	CarIll	18372	1484	92.52618855761483	129.91785714285714	0	Yes
xio_1	xio	0.01X	CarCor	2	262	0.7575757575757576	-1.1666666666666665	0.12167250457438125	No
xio_1	xio	0.01X	CarPalm	2	262	0.7575757575757576	-1.1666666666666665	0.12167250457438125	No
xio_1	xio	0.01X	CarLac	5	259	1.893939393939394	-0.6666666666666665	0.25249253754692297	No
xio_1	xio	0.01X	CarAqu	6	258	2.272727272727273	-0.49999999999999983	0.308537538725987	No
xio_1	xio	0.025X	CarPalm	10	575	1.7094017094017095	-1.2	0.11506967022170828	No
xio_1	xio	0.01X	CarMyr	12	252	4.545454545454546	0.5000000000000001	0.3085375387259869	No
xio_1	xio	0.025X	CarAqu	12	573	2.051282051282051	-0.8	0.21185539858339666	No
xio_1	xio	0.01X	CarCat	14	250	5.303030303030303	0.8333333333333335	0.20232838096364297	No
xio_1	xio	0.01X	CarOva	16	248	6.0606060606060606	1.1666666666666667	0.12167250457438122	No
xio_1	xio	0.05X	CarPalm	16	1142	1.381692573402418	-1.4848484848484849	0.06879198247347323	No
xio_1	xio	0.025X	CarCat	16	569	2.735042735042735	0	0.5	No
xio_1	xio	0.025X	CarCor	16	569	2.735042735042735	0	0.5	No
xio_1	xio	0.025X	CarMyr	16	569	2.735042735042735	0	0.5	No
xio_1	xio	0.05X	CarCor	19	1139	1.6407599309153715	-1.3030303030303028	0.09628220813361964	No
xio_1	xio	0.1X	CarCor	23	2236	1.018149623727313	-1.9200000000000002	0.02742894970383681	No
xio_1	xio	0.025X	CarLac	23	562	3.9316239316239314	1.4000000000000001	0.08075665923377102	No
xio_1	xio	0.05X	CarAqu	33	1125	2.849740932642487	-0.4545454545454544	0.32471814186337733	No
xio_1	xio	0.05X	CarMyr	39	1119	3.3678756476683938	-0.09090909090909075	0.46378241330310566	No
xio_1	xio	0.05X	CarLac	42	1116	3.6269430051813467	0.09090909090909075	0.46378241330310566	No
xio_1	xio	0.1X	CarMyr	44	2215	1.9477644975652944	-1.08	0.14007109008876903	No
xio_1	xio	0.025X	CarOva	46	539	7.863247863247863	6	9.86587645037698e-10	Yes
xio_1	xio	0.1X	CarPalm	48	2211	2.1248339973439574	-0.92	0.17878637961437174	No
xio_1	xio	0.05X	CarCat	52	1106	4.490500863557859	0.6969696969696971	0.2429108790940443	No
xio_1	xio	0.1X	CarAqu	64	2195	2.83311199645861	-0.27999999999999964	0.389738752444203	No
xio_1	xio	0.05X	CarOva	72	1086	6.217616580310881	1.909090909090909	0.02812518264098344	No
xio_1	xio	0.25X	CarCor	75	5221	1.4161631419939578	-1.2682926829268293	0.10234672455741851	No
xio_1	xio	0.1X	CarCat	78	2181	3.4528552456839305	0.28000000000000025	0.3897387524442027	No
xio_1	xio	0.1X	CarLac	83	2176	3.6741921204072594	0.48000000000000037	0.31561369651622245	No
xio_1	xio	0.25X	CarMyr	93	5203	1.7560422960725075	-1.048780487804878	0.14713957994556542	No
xio_1	xio	0.25X	CarPalm	101	5195	1.9070996978851964	-0.9512195121951219	0.17074647767188222	No
xio_1	xio	0.1X	CarOva	143	2116	6.330234617087206	2.880000000000001	0.0019883758548943204	Yes
xio_1	xio	0.5X	CarCor	147	9470	1.5285432047416034	-1.7894736842105259	0.03676928095161982	No
xio_1	xio	0.25X	CarLac	164	5132	3.096676737160121	-0.18292682926829293	0.42742771568192284	No
xio_1	xio	0.25X	CarAqu	194	5102	3.663141993957704	0.18292682926829246	0.42742771568192306	No
xio_1	xio	0.25X	CarCat	202	5094	3.814199395770393	0.28048780487804864	0.3895516402097485	No
xio_1	xio	0.01X	CarIll	207	57	78.4090909090909	33	4.061185620915856e-239	Yes
xio_1	xio	0.5X	CarPalm	207	9410	2.152438390350421	-1.087719298245614	0.13835952280622862	No
xio_1	xio	0.5X	CarMyr	222	9395	2.3084121867526255	-0.912280701754386	0.1808104852785051	No
xio_1	xio	0.5X	CarLac	298	9319	3.098679421857128	-0.023391812865497255	0.49066886780381996	No
xio_1	xio	0.5X	CarAqu	302	9315	3.1402724342310493	0.023391812865496867	0.4906688678038201	No
